id_servicios,id_cuenta,codigo,descripcion_servicio
"65","22",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"66","22",S17,BASURA COMERCIAL C5
"67","22",S19,MANT. PARQUES Y ZONAS VERDES
"68","22",S20,LIMPIEZA DE VIAS
"23061","8956",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23062","8956",S11,BASURA RESIDENCIAL R3
"23063","8956",S19,MANT. PARQUES Y ZONAS VERDES
"23064","8956",S20,LIMPIEZA DE VIAS
"23065","8957",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23066","8957",S11,BASURA RESIDENCIAL R3
"23067","8957",S19,MANT. PARQUES Y ZONAS VERDES
"23068","8957",S20,LIMPIEZA DE VIAS
"23069","8958",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23070","8958",S11,BASURA RESIDENCIAL R3
"23071","8958",S13,BASURA COMERCIAL C1
"23072","8958",S19,MANT. PARQUES Y ZONAS VERDES
"23073","8958",S20,LIMPIEZA DE VIAS
"23074","8959",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23075","8960",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23076","8960",S11,BASURA RESIDENCIAL R3
"23077","8960",S19,MANT. PARQUES Y ZONAS VERDES
"23078","8960",S20,LIMPIEZA DE VIAS
"23079","8962",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23080","8962",S11,BASURA RESIDENCIAL R3
"23081","8962",S19,MANT. PARQUES Y ZONAS VERDES
"23082","8962",S20,LIMPIEZA DE VIAS
"23083","8963",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23084","8963",S11,BASURA RESIDENCIAL R3
"23085","8963",S19,MANT. PARQUES Y ZONAS VERDES
"23086","8963",S20,LIMPIEZA DE VIAS
"23087","8964",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23088","8964",S11,BASURA RESIDENCIAL R3
"23089","8964",S19,MANT. PARQUES Y ZONAS VERDES
"23090","8964",S20,LIMPIEZA DE VIAS
"23091","8965",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23092","8965",S11,BASURA RESIDENCIAL R3
"23093","8965",S19,MANT. PARQUES Y ZONAS VERDES
"23094","8965",S20,LIMPIEZA DE VIAS
"23095","8966",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
"23096","8966",S11,BASURA RESIDENCIAL R3
"23097","8966",S19,MANT. PARQUES Y ZONAS VERDES
"23098","8966",S20,LIMPIEZA DE VIAS
"23099","8967",IBI,IMPUESTO SOBRE LA PROPIEDAD DE BIENES INMUEBLES
